SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
522215,SWISS GLASS ,X ,Q,167.00,169.95,167.00,169.95,169.95,167.45,7,518,87014.00,
522217,GUJ APOIND  ,B ,Q,215.70,216.00,207.50,212.35,210.95,211.10,34,1754,374184.00,
522229,TANEJA AERO.,X ,Q,51.80,52.50,50.25,51.15,51.15,51.15,66,11079,562059.00,
522231,CONART ENG. ,X ,Q,44.00,44.00,42.00,42.25,42.60,43.60,28,2432,103498.00,
522241,M.M.FORGINGS,B ,Q,1110.00,1133.95,1103.00,1117.90,1120.00,1100.35,117,1172,1309711.00,
522249,MAYUR UNIQ. ,B ,Q,494.00,494.00,494.00,494.00,494.00,496.55,2,13,6422.00,
522251,CENLUB INDUS,X ,Q,52.70,52.70,51.95,51.95,52.00,50.45,7,448,23408.00,
522257,RAJOO ENGIN.,XT,Q,49.65,49.75,48.60,49.60,49.60,49.30,295,68408,3376403.00,
522261,DOLPHIN OFF.,B ,Q,86.10,88.25,85.75,87.00,86.20,86.60,226,16739,1460024.00,
522263,JMC PROJECTS,B ,Q,595.60,595.60,580.60,583.90,590.75,593.85,73,1341,790228.00,
522275,GET&D       ,A ,Q,399.95,402.10,387.05,390.80,390.80,396.60,255,5676,2223442.00,
522281,RAM RAT.WIRE,X ,Q,184.00,190.45,179.10,180.65,180.00,182.00,40,2102,381039.00,
522285,JAY NECO IND,B ,Q,8.60,8.60,8.31,8.42,8.42,8.44,43,60420,513250.00,
522287,KALPA.POWER ,B ,Q,481.40,482.45,474.00,476.40,476.40,479.30,82,1368,653567.00,
522292,CHANDNI TE  ,X ,Q,40.70,42.70,39.05,41.50,41.50,42.50,20,3241,128982.00,
522294,T & I GLOBAL,X ,Q,69.10,73.00,69.10,70.55,70.55,71.40,18,1635,116795.00,
522295,CONTROL PRNT,B ,Q,442.00,451.00,442.00,448.45,450.00,441.70,15,784,352528.00,
522650,BEMCO HYDRAU,XT,Q,199.50,200.85,191.05,193.70,193.70,191.35,10,244,48608.00,
523007,ANSAL BUILD.,X ,Q,79.00,79.00,75.75,78.05,78.05,82.35,23,835,65236.00,
523011,WEIZMANN LTD,B ,Q,46.00,49.70,44.00,44.55,44.55,45.85,15,1279,58590.00,
523019,B.N.RATHI SE,X ,Q,43.75,44.00,43.00,43.35,43.30,43.50,32,6775,296469.00,
523021,RISHITECH   ,X ,Q,66.30,66.30,65.95,65.95,65.95,67.00,12,1902,125817.00,
523023,SINCLAIR HOT,X ,Q,401.00,404.90,398.05,401.35,403.00,401.25,93,6861,2761317.00,
523025,SAFARI IND. ,X ,Q,620.00,639.65,581.00,621.55,621.55,595.30,337,14878,9279571.00,
523100,COSMO FERR. ,X ,Q,23.20,26.55,23.20,26.40,26.40,24.15,21,3805,99734.00,
523116,SANCO TRANS ,X ,Q,260.85,262.35,238.55,260.70,260.70,250.00,12,182,47109.00,
523120,ADOR MULTI. ,XT,Q,39.80,39.80,39.30,39.30,39.30,39.25,6,731,28787.00,
523127,EIH ASSO.HOT,B ,Q,498.80,509.00,486.50,497.85,497.85,493.70,70,664,332814.00,
523144,MEDI CAPS   ,X ,Q,22.65,22.65,21.70,22.00,22.30,22.25,33,6520,144000.00,
523160,MORGAN CRU  ,XT,Q,1459.90,1508.95,1450.00,1502.60,1502.60,1439.70,158,2571,3818972.00,
523204,ABAN OFFSHO ,A ,Q,162.20,164.85,161.35,163.00,163.00,161.85,1711,171241,27942245.00,
523207,KOKUYOCMLN  ,B ,Q,122.45,124.80,119.70,120.90,120.90,122.65,76,3978,483545.00,
523229,BHARAT SEATS,X ,Q,202.05,208.00,200.00,205.35,205.35,201.70,357,23302,4775104.00,
523232,CONT.PETRO  ,XT,Q,39.50,40.60,39.50,40.60,40.60,38.70,4,500,20080.00,
523248,MACHINO PLAS,X ,Q,241.00,241.00,241.00,241.00,241.00,245.00,1,25,6025.00,
523260,PEARL POLYME,T ,Q,22.80,24.15,22.80,24.15,24.15,23.10,2,2,46.00,
523261,VENKEY'S (I),B ,Q,4010.00,4079.00,4006.00,4034.60,4034.60,4028.40,1817,14989,60515395.00,
523269,ADVANI HOTEL,B ,Q,58.70,59.10,58.00,59.10,59.10,58.60,13,854,49905.00,
523277,G.V.FILMS   ,X ,Q,0.71,0.75,0.70,0.72,0.75,0.73,50,60573,43888.00,
523283,SUPER HOUSE ,B ,Q,143.00,144.00,142.00,144.00,144.00,143.15,21,1530,219035.00,
523289,RAMA VISION ,XT,Q,18.90,18.90,18.90,18.90,18.90,18.90,2,100,1890.00,
523301,TCPL PACK   ,B ,Q,581.00,600.05,581.00,598.60,600.00,580.05,51,1412,842904.00,
523319,BALMER LAWRI,B ,Q,221.05,224.10,214.35,222.85,223.80,224.25,228,13569,2996659.00,
523323,KOVAI MEDI. ,T ,Q,1290.00,1315.00,1275.00,1315.00,1315.00,1270.00,48,2663,3479908.00,
523329,ELDECO HOUS.,X ,Q,1850.00,1850.00,1835.00,1844.90,1840.00,1860.25,9,132,242830.00,
523367,DCMSHRIRAM  ,B ,Q,469.35,469.80,455.40,459.75,460.00,468.05,739,17347,8006132.00,
523369,DCM SHR.IND ,X ,Q,213.00,213.35,204.60,210.65,210.65,213.50,62,4291,902665.00,
523371,MAWANA SUGAR,B ,Q,50.50,51.00,49.50,49.70,49.70,50.45,90,11073,555892.00,
523384,MAH.RAS.APEX,T ,Q,159.00,163.40,159.00,163.40,163.40,155.65,26,5189,847442.00,
523385,NILKAMAL L  ,A ,Q,1623.45,1675.00,1611.00,1614.80,1615.00,1620.75,197,1565,2541238.00,
523387,TRITON CORP.,XT,Q,0.30,0.30,0.30,0.30,0.30,0.30,5,1948,584.00,
523391,NAHAR POLY  ,B ,Q,60.15,60.75,58.00,60.15,59.90,59.25,80,7337,435651.00,
523395,3M INDIA LTD,B ,Q,20698.60,20965.75,20640.85,20736.35,20879.00,20642.25,83,200,4147551.00,
523398,JCHAC       ,B ,Q,2522.35,2542.75,2490.00,2505.25,2510.00,2553.55,149,786,1976684.00,
523405,JM FINANCIAL,A ,Q,140.20,143.30,136.80,139.30,138.45,141.00,1407,117250,16419126.00,
523411,ADCINDIA    ,X ,Q,217.50,226.00,217.50,226.00,226.00,222.00,6,158,34780.00,
523419,TAMIL.TELE. ,T ,Q,3.24,3.24,3.24,3.24,3.24,3.24,3,300,972.00,
523445,REL INDL INF,B ,Q,460.00,481.55,460.00,473.45,473.45,459.80,4539,210193,99677401.00,
523457,LINDEINDIA  ,A ,Q,464.90,474.95,455.15,471.55,470.40,463.05,128,1787,833542.00,XD
523465,IND.BANK HSG,T ,Q,52.00,52.00,48.50,50.60,48.60,50.90,16,998,50285.00,
523467,JAIMATA GLAS,XT,Q,0.19,0.19,0.19,0.19,0.19,0.19,9,20308,3858.00,
523475,LOTUS CHOC  ,XT,Q,47.00,48.40,45.00,48.15,48.15,46.10,17,2053,95408.00,
523483,PACIFIC IND.,X ,Q,140.00,144.00,140.00,144.00,144.00,144.00,17,525,74479.00,
523489,CMM HOSPITAL,XT,Q,19.50,19.50,19.25,19.25,19.25,19.00,4,195,3784.00,
523519,UNI OFF AUTO,XT,Q,2.42,2.42,2.42,2.42,2.42,2.31,3,672,1626.00,
523523,RAINBOW PAP.,T ,Q,2.91,2.91,2.78,2.91,2.91,2.78,58,80883,235108.00,
523537,APM INDUS.  ,X ,Q,58.80,58.85,57.40,58.20,58.35,57.95,36,4020,234355.00,
523539,PRECISION WR,B ,Q,308.00,308.00,297.00,299.35,297.60,303.00,118,3292,991798.00,
523550,KRYPTON IND ,X ,Q,12.20,12.20,12.20,12.20,12.20,11.65,3,1100,13420.00,
523566,MARTIN BURN ,X ,Q,60.50,71.50,60.00,68.40,68.00,59.75,179,20744,1370119.00,
523574,FEL         ,B ,Q,38.20,39.00,37.85,38.45,38.45,38.20,442,91344,3498937.00,
523586,IND.TONERS  ,X ,Q,259.00,263.40,253.05,261.55,261.55,257.10,82,3929,1011410.00,
523594,KUNSTSTOFFE ,XT,Q,45.00,45.15,41.75,42.05,42.05,43.05,22,2506,110282.00,
523598,SHIPP.CORPN ,A ,Q,67.40,71.95,67.40,70.15,70.15,68.05,2045,348333,24702262.00,
523606,SIKA INTER. ,XT,Q,165.50,165.50,156.00,156.00,156.00,159.20,6,550,87000.00,
523610,ITI LTD.    ,B ,Q,128.00,129.80,124.95,126.90,126.90,127.25,1329,150570,19211021.00,
523618,DREDGING COR,B ,Q,619.65,639.00,611.30,621.55,621.55,618.75,2414,84751,53179687.00,
523628,PODDAR      ,B ,Q,876.05,885.00,870.00,878.45,878.05,880.00,10,71,62372.00,
523630,NATIONAL FER,B ,Q,58.85,59.50,57.90,58.50,58.50,58.50,443,62033,3634510.00,
523638,IP RINGS LTD,X ,Q,180.30,194.00,180.30,189.25,190.00,186.35,175,10098,1917115.00,
523642,PI INDUS.LTD,A ,Q,890.00,901.00,871.60,874.65,901.00,889.70,97,1403,1228500.00,
523648,PLASTIBLEND ,B ,Q,209.90,210.85,208.00,209.20,209.20,209.35,46,1696,354934.00,
523650,REDEX PROTEC,XT,Q,6.00,6.00,6.00,6.00,6.00,6.20,1,500,3000.00,
523660,WATERBASE   ,X ,Q,298.90,310.00,298.90,304.35,304.35,293.00,3540,282615,85949024.00,
523672,FLEX FOODS  ,X ,Q,119.05,119.75,115.30,118.35,118.35,120.05,81,2519,295982.00,
523676,GOLKUNDA DIA,XT,Q,19.95,19.95,19.95,19.95,19.95,19.00,1,1,19.00,
523694,APCOTEX IND ,B ,Q,513.95,517.00,511.75,515.00,515.00,514.70,5,118,60947.00,
523696,FORTIS MLR  ,X ,Q,60.45,61.30,60.45,60.80,60.60,60.85,44,6618,401863.00,
523704,MASTEK LTD  ,B ,Q,550.00,578.00,548.70,564.10,564.10,548.00,5168,218438,123564500.00,
523708,EIMCO ELECON,B ,Q,469.95,489.80,469.95,473.95,473.95,472.55,27,206,97771.00,
523710,SAYAJI HOTEL,XT,Q,304.00,304.00,280.00,280.00,280.00,290.00,8,270,77266.00,
523716,ASHIANA HOU ,B ,Q,165.00,168.20,165.00,167.35,168.20,163.45,139,7532,1256741.00,
523724,VIJAY SHA.BU,B ,Q,17.45,18.25,17.25,17.70,17.70,17.45,107,22920,406284.00,
523736,DPL         ,B ,Q,146.00,148.65,145.10,146.40,146.45,146.05,45,2941,432790.00,
523754,EPC INDUS.  ,X ,Q,136.20,138.90,135.20,136.80,136.80,137.05,1023,235410,32259957.00,
523756,SREIINFRA   ,A ,Q,81.60,81.60,79.50,81.05,81.00,81.45,380,52152,4200872.00,
523768,GUJ.BOROSIL ,X ,Q,115.90,115.90,107.25,112.15,112.90,109.45,618,105694,11786232.00,
523792,MAZDA LTD   ,B ,Q,360.00,362.80,355.00,359.70,362.45,355.60,9,148,53153.00,
523796,VICEROY HOTE,B ,Q,12.80,12.85,12.55,12.85,12.75,12.75,49,15681,199612.00,
523828,MENON BEAR. ,B ,Q,103.00,107.40,102.00,105.50,105.50,103.25,155,15323,1602927.00,
523836,GUJ.RAFFIA  ,T ,Q,51.80,51.80,51.80,51.80,51.80,52.60,1,400,20720.00,
523838,SIMPLX INFRA,B ,Q,543.20,554.55,538.60,550.50,554.00,549.65,24,216,117766.00,
523840,INN.TECH.PAC,X ,Q,76.65,78.50,76.00,78.05,78.50,77.40,53,10078,781829.00,
523842,SUPER TANNER,ST,Q,5.21,5.47,4.95,5.39,5.39,5.21,14,4445,23112.00,
523844,INVICTA MED ,XT,Q,4.00,4.00,4.00,4.00,4.00,4.00,2,800,3200.00,
523850,AXTEL INDUS.,X ,Q,99.70,102.80,98.90,102.65,102.65,98.35,21,1938,195498.00,
524000,MAGMA FIN   ,B ,Q,157.95,164.50,154.00,162.95,162.95,164.80,23331,35626570,5531099719.00,
524013,HIND.FLUROCA,T ,Q,11.00,11.07,10.05,11.07,11.07,10.55,8,600,6268.00,
524019,KINGFA      ,T ,Q,960.10,1015.00,950.10,986.55,986.55,999.65,47,912,889122.00,
524037,RAMA PHOSPH ,X ,Q,84.00,86.50,80.80,84.35,86.20,80.80,30,2666,223693.00,
524051,POLYPLEX    ,B ,Q,486.00,486.05,477.00,478.00,478.00,480.50,20,410,197676.00,
524075,ALBERT DAVID,T ,Q,377.10,377.10,374.00,374.00,374.00,380.00,4,65,24361.00,
524080,HAR.LEATHER ,XT,Q,40.40,40.40,40.40,40.40,40.40,42.00,1,100,4040.00,
524084,MONSANTO (I),A ,Q,2681.65,2721.30,2665.00,2694.95,2690.00,2715.05,88,498,1344006.00,
524091,ACRYCIL LTD.,X ,Q,595.00,610.00,590.00,592.05,590.00,594.85,191,7584,4558537.00,
524109,KABRA EXTR  ,B ,Q,124.00,124.70,122.95,124.15,124.15,124.55,91,5634,697154.00,
524129,VINYL CHEM  ,B ,Q,109.00,110.20,106.25,108.80,108.15,108.70,123,8052,875721.00,
524136,PEE CEE COSM,X ,Q,157.60,173.00,157.00,169.80,171.90,165.00,25,916,151958.00,
524164,IOL CHEM PH ,B ,Q,85.00,86.50,82.30,84.45,84.45,82.90,844,100983,8536144.00,
524174,KESAR PETRO ,X ,Q,40.50,40.90,39.20,40.70,40.70,40.80,977,249801,10079388.00,
524200,VINATI ORG. ,B ,Q,940.00,950.00,923.00,948.65,949.00,942.70,144,1622,1528868.00,
524202,LACTOSE(I)  ,XT,Q,92.90,92.90,87.50,89.90,89.90,90.80,49,9770,878205.00,
524208,AARTI INDUST,B ,Q,1190.00,1194.00,1170.05,1185.15,1180.00,1185.35,160,1008,1191841.00,
524212,WANBURY LTD ,T ,Q,34.25,37.00,34.25,36.70,36.70,35.90,21,4317,157790.00,
524218,RESONANCE   ,X ,Q,30.00,31.85,29.05,31.60,30.85,30.00,30,2045,60772.00,
524226,GUJ AMB EXP ,B ,Q,259.00,260.70,255.00,258.80,259.00,259.45,164,6134,1587202.00,
524230,RASHTR.CHEM.,A ,Q,77.70,78.65,76.90,78.00,78.00,77.75,1410,359974,28042863.00,
524280,KOPRAN LTD. ,B ,Q,60.55,63.45,60.55,62.20,62.20,61.80,240,31740,1973674.00,
524288,AIMCO PESTI.,X ,Q,180.00,191.00,178.90,189.05,190.00,175.70,157,9000,1675705.00,
524314,GUJ.TERC LAB,X ,Q,12.70,12.70,12.70,12.70,12.70,12.85,1,6,76.00,
